,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,ribeira grande,71,PT,1570674529,68,38.52,-28.7,290.26,1.786
88,harindanga,75,IN,1570674762,94,22.04,88.32,297.15,2.6
89,butaritari,74,KI,1570674467,67,3.07,172.79,302.74,5.607
90,panaba,35,MX,1570674762,91,21.28,-88.27,298.48,2.865
91,butterworth,75,MY,1570674762,83,5.4,100.37,302.15,2.6
92,avarua,100,CK,1570674442,73,-21.21,-159.78,295.15,6.2
93,sisimiut,14,GL,1570674763,58,66.94,-53.67,270.58,2.184
94,clyde river,75,CA,1570674496,77,70.47,-68.59,273.15,4.1
95,luderitz,0,NA,1570674734,58,-26.65,15.16,286.15,0.5
96,luganville,75,VU,1570674763,69,-15.51,167.18,301.15,5.1
97,fortuna,1,US,1570674684,71,40.6,-124.16,286.15,5.1
98,verkh-usugli,0,RU,1570674763,24,52.7,115.17,271.04,3.589
99,lasa,87,CY,1570674606,77,34.92,32.53,293.15,3.1
100,ciudad bolivar,100,VE,1570674764,90,8.12,-63.55,297.48,3.413
101,salto,100,BR,1570674764,77,-23.2,-47.29,293.71,4.6
102,cockburn town,40,TC,1570674764,74,21.46,-71.14,301.15,4.1
103,east london,92,ZA,1570674761,74,-33.02,27.91,288.0,5.602
104,kirakira,94,SB,1570674751,80,-10.46,161.92,300.55,2.199
105,mehamn,93,NO,1570674764,79,71.03,27.85,275.83,5.888
106,sioux lookout,90,CA,1570674517,55,50.1,-91.92,290.15,3.1
107,port alfred,97,ZA,1570674556,96,-33.59,26.89,284.82,1.34
108,qaanaaq,100,GL,1570674763,93,77.48,-69.36,268.82,5.832
109,new norfolk,40,AU,1570674449,62,-42.78,147.06,288.15,6.7
110,krasnyy chikoy,100,RU,1570674765,53,50.36,108.75,269.98,5.324
111,cidreira,0,BR,1570674541,89,-30.17,-50.22,292.66,8.337
112,mastic beach,90,US,1570674766,81,40.77,-72.85,285.93,4.1
113,tawau,75,MY,1570674766,66,4.26,117.89,304.15,1.345
114,yellowknife,75,CA,1570674499,59,62.45,-114.38,274.26,2.6
115,merauke,100,ID,1570674642,57,-8.49,140.4,302.54,5.129
116,xique-xique,100,BR,1570674766,57,-10.82,-42.73,295.1,5.416
117,itoman,40,JP,1570674766,69,26.12,127.67,301.15,10.8
118,viedma,0,AR,1570674766,57,-40.81,-62.99,282.25,4.866
119,torbay,5,CA,1570674489,93,47.66,-52.73,279.82,1.5
120,ordzhonikidze,0,UA,1570674767,61,44.96,35.36,288.24,6.063
121,thompson,75,CA,1570674763,63,55.74,-97.86,272.15,1.5
122,kodiak,90,US,1570674575,77,39.95,-94.76,290.37,3.6
123,chippewa falls,1,US,1570674767,55,44.94,-91.39,289.15,3.1
124,lesozavodsk,0,RU,1570674768,54,45.47,133.42,291.6,7.616
125,mangrol,0,IN,1570674768,66,25.33,76.51,299.15,2.06
126,husavik,100,CA,1570674666,97,50.56,-96.99,276.48,3.13
127,kohlu,0,PK,1570674768,43,29.9,69.25,293.88,1.261
128,puerto ayora,18,EC,1570674499,93,-0.74,-90.35,291.48,3.58
129,pocoes,97,BR,1570674768,96,-14.53,-40.37,290.13,3.371
130,antalaha,12,MG,1570674769,77,-14.9,50.28,298.11,6.611
131,castro,90,CL,1570674491,93,-42.48,-73.76,283.15,5.1
132,lavrentiya,91,RU,1570674769,70,65.58,-170.99,274.58,5.9
133,pangody,100,RU,1570674630,80,65.85,74.49,275.69,10.212
134,salalah,75,OM,1570674453,83,17.01,54.1,299.15,1.5
135,filadelfia,0,PY,1570674769,42,-22.35,-60.04,298.37,3.966
136,panique,100,PH,1570674770,80,12.48,122.02,300.74,5.248
137,portland,1,US,1570674676,76,43.66,-70.25,284.82,2.1
138,prenzlau,100,DE,1570674770,88,53.32,13.87,283.15,2.68
139,balkanabat,15,TM,1570674770,86,39.51,54.36,290.52,0.378
140,xinzhi,40,TW,1570674770,66,22.54,120.62,303.15,2.1
141,lisakovsk,100,KZ,1570674771,94,52.55,62.49,282.78,1.345
142,laibin,31,CN,1570674771,65,23.74,109.23,301.55,3.691
143,north bend,1,US,1570674771,71,43.41,-124.22,284.15,5.7
144,teguldet,0,RU,1570674771,65,57.31,88.17,274.16,3.172
145,shingu,75,JP,1570674771,65,33.72,135.99,298.15,2.1
146,ouesso,100,CG,1570674772,97,1.61,16.05,293.28,1.395
147,noumea,0,NC,1570674772,45,-22.28,166.46,303.15,6.2
148,labuan,75,BN,1570674772,78,5.28,115.24,301.15,2.6
149,nanortalik,11,GL,1570674541,88,60.14,-45.24,276.93,5.071
150,loreto,0,PY,1570674772,46,-23.27,-57.32,295.7,2.115
151,zhanaozen,0,KZ,1570674772,90,43.35,52.85,282.65,3.66
152,wajima,29,JP,1570674773,52,37.4,136.9,294.15,3.1
153,furano,20,JP,1570674773,59,43.28,142.47,290.15,3.6
154,neiafu,75,TO,1570674639,78,-18.65,-173.98,301.15,3.1
155,haines junction,97,CA,1570674760,96,60.75,-137.51,271.78,3.205
156,kpandu,100,GH,1570674773,97,7.0,0.29,294.36,0.779
157,camacha,75,PT,1570674652,68,33.08,-16.33,294.15,5.1
158,pangai,40,TO,1570674774,78,-19.8,-174.35,300.15,4.1
159,bredasdorp,43,ZA,1570674446,86,-34.53,20.04,278.71,1.0
160,grindavik,1,IS,1570674599,80,63.84,-22.43,278.15,7.2
161,codrington,40,AU,1570674634,43,-28.95,153.24,295.15,4.6
162,port elizabeth,90,US,1570674456,87,39.31,-74.98,287.59,3.1
163,paka,100,CF,1570674774,99,4.15,15.03,292.53,0.31
164,pisco,90,PE,1570674579,82,-13.71,-76.2,289.15,4.6
165,mount gambier,90,AU,1570674771,71,-37.83,140.78,286.15,2.6
166,iqaluit,75,CA,1570674611,80,63.75,-68.52,277.15,5.7
167,ibra,0,OM,1570674775,59,22.69,58.55,299.43,2.436
168,srednekolymsk,92,RU,1570674546,76,67.46,153.71,266.18,3.716
169,umea,45,SE,1570674775,89,63.83,20.26,273.15,1.0
170,san buenaventura,0,MX,1570674775,48,27.06,-101.55,301.4,2.388
171,achacachi,0,BO,1570674775,36,-16.04,-68.68,273.55,1.51
172,kavaratti,52,IN,1570674577,71,10.57,72.64,301.26,0.916
173,siteki,100,SZ,1570674776,91,-26.45,31.95,292.01,6.434
174,isangel,75,VU,1570674691,61,-19.55,169.27,300.15,2.6
175,constantine,0,DZ,1570674776,87,36.36,6.61,284.15,1.0
176,los llanos de aridane,75,ES,1570674549,64,28.66,-17.92,295.15,4.1
177,tiksi,100,RU,1570674762,92,71.64,128.87,268.86,4.44
178,raudeberg,100,NO,1570674776,66,61.99,5.14,284.15,5.1
179,mangaratiba,90,BR,1570674776,94,-22.96,-44.04,294.15,1.5
180,margate,40,AU,1570674777,62,-43.03,147.26,288.15,6.7
181,road town,40,VG,1570674605,83,18.42,-64.62,300.37,1.0
182,soe,90,EE,1570674641,93,57.91,26.05,281.48,1.5
183,paamiut,0,GL,1570674573,58,61.99,-49.67,276.18,2.557
184,shieli,100,KZ,1570674777,25,44.18,66.74,290.54,1.955
185,seoul,75,KR,1570674619,76,37.57,126.98,290.15,1.5
186,guerrero negro,0,MX,1570674611,80,27.97,-114.04,292.72,5.71
187,porto novo,75,BR,1570674777,88,-23.68,-45.44,291.15,3.1
